"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp"
"1",2019-12-31,31,12,2019,0,0,"Nepal","NP","NPL",28087871,"Asia"
"2",2020-01-01,1,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"3",2020-01-02,2,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"4",2020-01-03,3,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"5",2020-01-04,4,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"6",2020-01-05,5,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"7",2020-01-06,6,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"8",2020-01-07,7,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"9",2020-01-08,8,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"10",2020-01-09,9,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"11",2020-01-10,10,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"12",2020-01-11,11,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"13",2020-01-12,12,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"14",2020-01-13,13,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"15",2020-01-14,14,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"16",2020-01-15,15,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"17",2020-01-16,16,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"18",2020-01-17,17,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"19",2020-01-18,18,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"20",2020-01-19,19,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"21",2020-01-20,20,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"22",2020-01-21,21,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"23",2020-01-22,22,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"24",2020-01-23,23,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"25",2020-01-24,24,1,2020,0,0,"Nepal","NP","NPL",28087871,"Asia"
"26",2020-01-25,25,1,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"27",2020-01-26,26,1,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"28",2020-01-27,27,1,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"29",2020-01-28,28,1,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"30",2020-01-29,29,1,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"31",2020-01-30,30,1,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"32",2020-01-31,31,1,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"33",2020-02-01,1,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"34",2020-02-02,2,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"35",2020-02-03,3,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"36",2020-02-04,4,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"37",2020-02-05,5,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"38",2020-02-06,6,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"39",2020-02-07,7,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"40",2020-02-08,8,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"41",2020-02-09,9,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"42",2020-02-10,10,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"43",2020-02-11,11,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"44",2020-02-12,12,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"45",2020-02-13,13,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"46",2020-02-14,14,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"47",2020-02-15,15,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"48",2020-02-16,16,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"49",2020-02-17,17,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"50",2020-02-18,18,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"51",2020-02-19,19,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"52",2020-02-20,20,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"53",2020-02-21,21,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"54",2020-02-22,22,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"55",2020-02-23,23,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"56",2020-02-24,24,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"57",2020-02-25,25,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"58",2020-02-26,26,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"59",2020-02-27,27,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"60",2020-02-28,28,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"61",2020-02-29,29,2,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"62",2020-03-01,1,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"63",2020-03-02,2,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"64",2020-03-15,15,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"65",2020-03-17,17,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"66",2020-03-18,18,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"67",2020-03-19,19,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"68",2020-03-20,20,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"69",2020-03-21,21,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"70",2020-03-22,22,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"71",2020-03-23,23,3,2020,1,0,"Nepal","NP","NPL",28087871,"Asia"
"72",2020-03-24,24,3,2020,2,0,"Nepal","NP","NPL",28087871,"Asia"
"73",2020-03-25,25,3,2020,3,0,"Nepal","NP","NPL",28087871,"Asia"
"74",2020-03-26,26,3,2020,3,0,"Nepal","NP","NPL",28087871,"Asia"
"75",2020-03-27,27,3,2020,3,0,"Nepal","NP","NPL",28087871,"Asia"
"76",2020-03-28,28,3,2020,3,0,"Nepal","NP","NPL",28087871,"Asia"
"77",2020-03-29,29,3,2020,5,0,"Nepal","NP","NPL",28087871,"Asia"
"78",2020-03-30,30,3,2020,5,0,"Nepal","NP","NPL",28087871,"Asia"
