District,Cases,Deaths,Recovered
ACHHAM,2,0,0
ARGHAKHANCHI,2,0,0
BAGLUNG,8,0,2
BAITADI,5,0,0
BAJHANG,0,0,0
BAJURA,0,0,0
BANKE,170,1,23
BARA,50,0,2
BARDIYA,7,0,2
BHAKTAPUR,4,0,2
BHOJPUR,1,0,1
CHITAWAN,6,0,2
DADELDHURA,1,0,0
DAILEKH,8,0,0
DANG,20,0,1
DARCHULA,0,0,0
DHADING,3,0,2
DHANKUTA,7,0,0
DHANUSHA,13,0,2
DOLAKHA,0,0,0
DOLPA,0,0,0
DOTI,0,0,0
GORKHA,0,0,0
GULMI,4,1,0
HUMLA,0,0,0
ILAM,0,0,0
JAJARKOT,0,0,0
JHAPA,53,0,2
JUMLA,0,0,0
KAILALI,8,0,4
KALIKOT,0,0,0
KANCHANPUR,1,0,1
KAPILBASTU,109,0,11
KASKI,0,0,0
KATHMANDU,15,0,4
KABHREPALANCHOK,1,0,0
KHOTANG,1,0,0
LALITPUR,1,0,0
LAMJUNG,1,0,0
MAHOTTARI,5,0,0
MAKAWANPUR,4,0,0
MANANG,0,0,0
MORANG,6,0,0
MUGU,0,0,0
MUSTANG,0,0,0
MYAGDI,0,0,0
NAWALPARASI(E),2,0,0
NUWAKOT,1,0,0
OKHALDHUNGA,0,0,0
PALPA,0,0,0
PANCHTHAR,0,0,0
PARBAT,0,0,0
PARSA,95,0,87
PYUTHAN,0,0,0
RAMECHHAP,1,0,0
RASUWA,0,0,0
RAUTAHAT,106,0,2
ROLPA,0,0,0
RUKUM(E),3,0,0
RUPANDEHI,44,1,1
SALYAN,0,0,0
SANKHUWASABHA,0,0,0
SAPTARI,16,0,0
SARLAHI,34,0,2
SINDHULI,1,0,0
SINDHUPALCHOK,1,1,0
SIRAHA,7,0,0
SOLUKHUMBU,0,0,0
SUNSARI,3,0,0
SURKHET,15,0,0
SYANGJA,2,0,0
TANAHU,0,0,0
TAPLEJUNG,0,0,0
TERHATHUM,0,0,
UDAYAPUR,0,27,
NAWALPARASI(W),6,0,0
RUKUM(W),0,0,0
