District,Cases,Deaths,Recovered
ACHHAM,2,0,0
ARGHAKHANCHI,3,1,0
BAGLUNG,8,0,2
BAITADI,5,0,0
BAJHANG,1,0,0
BAJURA,0,0,0
BANKE,181,1,23
BARA,55,0,2
BARDIYA,10,0,2
BHAKTAPUR,4,0,2
BHOJPUR,1,0,1
CHITAWAN,6,0,2
DADELDHURA,1,0,0
DAILEKH,31,1,0
DANG,27,0,1
DARCHULA,1,0,0
DHADING,3,0,2
DHANKUTA,7,0,0
DHANUSHA,49,0,2
DOLAKHA,2,0,0
DOLPA,0,0,0
DOTI,0,0,0
GORKHA,0,0,0
GULMI,4,1,0
HUMLA,0,0,0
ILAM,0,0,0
JAJARKOT,0,0,0
JHAPA,107,0,2
JUMLA,0,0,0
KAILALI,10,0,4
KALIKOT,0,0,0
KANCHANPUR,1,0,1
KAPILBASTU,269,0,11
KASKI,0,0,0
KATHMANDU,15,0,4
KABHREPALANCHOK,1,0,0
KHOTANG,1,0,0
LALITPUR,3,1,0
LAMJUNG,1,0,0
MAHOTTARI,26,0,0
MAKAWANPUR,5,0,0
MANANG,0,0,0
MORANG,6,0,0
MUGU,0,0,0
MUSTANG,0,0,0
MYAGDI,1,0,0
NAWALPARASI(E),5,0,0
NUWAKOT,1,0,0
OKHALDHUNGA,0,0,0
PALPA,0,0,0
PANCHTHAR,0,0,0
PARBAT,0,0,0
PARSA,102,0,87
PYUTHAN,0,0,0
RAMECHHAP,1,0,0
RASUWA,0,0,0
RAUTAHAT,188,0,2
ROLPA,0,0,0
RUKUM(E),3,0,0
RUPANDEHI,45,1,1
SALYAN,0,0,0
SANKHUWASABHA,2,0,0
SAPTARI,43,0,0
SARLAHI,62,0,2
SINDHULI,1,0,0
SINDHUPALCHOK,1,1,0
SIRAHA,24,0,0
SOLUKHUMBU,1,0,0
SUNSARI,3,0,0
SURKHET,29,0,0
SYANGJA,5,0,0
TANAHU,0,0,0
TAPLEJUNG,0,0,0
TERHATHUM,0,0,0
UDAYAPUR,33,0,27
NAWALPARASI(W),6,0,0
RUKUM(W),0,0,0
