DISTRICT,CONFIRMED,DEATHS,RECOVERED
ACHHAM,15,0,2
ARGHAKHANCHI,39,2,2
BAGLUNG,40,0,6
BAITADI,6,0,5
BAJHANG,10,0,0
BAJURA,21,1,0
BANKE,315,1,156
BARA,85,2,38
BARDIYA,82,0,3
BHAKTAPUR,6,0,4
BHOJPUR,6,0,1
CHITWAN,40,1,2
DADELDHURA,15,0,1
DAILEKH,509,1,1
DANG,104,0,24
DARCHULA,12,0,0
DHADING,58,0,2
DHANKUTA,8,0,6
DHANUSA,179,0,76
DOLAKHA,2,1,1
DOLPA,1,1,0
DOTI,6,0,0
EASTERN RUKUM,3,0,1
GORKHA,15,0,1
GULMI,10,1,3
HUMLA,1,0,1
ILAM,2,0,0
JAJARKOT,8,0,0
JHAPA,170,0,115
JUMLA,26,0,16
KAILALI,72,1,4
KALIKOT,28,0,0
KANCHANPUR,34,0,1
KAPILVASTU,648,0,26
KASKI,5,0,1
KATHMANDU,30,0,22
KAVREPALANCHOWK,6,0,1
KHOTANG,5,0,1
LALITPUR,3,1,1
LAMJUNG,1,0,0
MAHOTTARI,180,0,2
MAKWANPUR,6,0,4
MANANG,0,0,0
MORANG,46,0,3
MUGU,1,0,1
MUSTANG,0,0,0
MYAGDI,3,0,0
NAWALPUR,36,0,1
NUWAKOT,7,0,1
OKHALDHUNGA,0,0,0
PALPA,23,1,0
PANCHTHAR,2,0,1
PARASI,48,0,2
PARBAT,26,0,0
PARSA,129,1,95
PYUTHAN,23,0,0
RAMECHHAP,19,0,2
RASUWA,0,0,0
RAUTAHAT,714,0,107
ROLPA,35,0,0
RUPANDEHI,191,0,46
SALYAN,139,0,0
SANKHUWASABHA,2,0,0
SAPTARI,139,0,3
SARLAHI,489,0,16
SINDHULI,5,0,1
SINDHUPALCHOK,4,1,0
SIRAHA,73,0,20
SOLUKHUMBU,1,0,1
SUNSARI,54,0,4
SURKHET,199,1,6
SYANGJA,60,1,3
TANAHU,4,0,0
TAPLEJUNG,4,0,3
TEHRATHUM,3,0,1
UDAYAPUR,44,0,28
WESTERN RUKUM,0,0,0
